id,json_body,trade_time_int,pair
237,"{""rate"":""264951.0""}",20170529125203,btc_jpy
238,"{""rate"":""264996.0""}",20170529125213,btc_jpy
239,"{""rate"":""265165.5""}",20170529125223,btc_jpy
240,"{""rate"":""264778.0""}",20170529125233,btc_jpy
241,"{""rate"":""265073.5""}",20170529125243,btc_jpy
242,"{""rate"":""264979.5""}",20170529125254,btc_jpy
243,"{""rate"":""264998.5""}",20170529125304,btc_jpy
244,"{""rate"":""264582.5""}",20170529125314,btc_jpy
245,"{""rate"":""264520.0""}",20170529125324,btc_jpy
246,"{""rate"":""264529.0""}",20170529125334,btc_jpy
247,"{""rate"":""264899.5""}",20170529125344,btc_jpy
248,"{""rate"":""264713.5""}",20170529125354,btc_jpy
249,"{""rate"":""264969.5""}",20170529125404,btc_jpy
250,"{""rate"":""264993.5""}",20170529125414,btc_jpy
251,"{""rate"":""264997.5""}",20170529125424,btc_jpy
252,"{""rate"":""264835.0""}",20170529125434,btc_jpy
253,"{""rate"":""264740.5""}",20170529125444,btc_jpy
254,"{""rate"":""264788.5""}",20170529125454,btc_jpy
255,"{""rate"":""264851.5""}",20170529125504,btc_jpy
256,"{""rate"":""264671.5""}",20170529125514,btc_jpy
257,"{""rate"":""264547.0""}",20170529125524,btc_jpy
258,"{""rate"":""264730.5""}",20170529125534,btc_jpy
259,"{""rate"":""264815.0""}",20170529125545,btc_jpy
260,"{""rate"":""264891.0""}",20170529125555,btc_jpy
261,"{""rate"":""264963.0""}",20170529125605,btc_jpy
262,"{""rate"":""264919.0""}",20170529125615,btc_jpy
263,"{""rate"":""264980.0""}",20170529125625,btc_jpy
264,"{""rate"":""265272.0""}",20170529125635,btc_jpy
265,"{""rate"":""265444.5""}",20170529125645,btc_jpy
266,"{""rate"":""265465.0""}",20170529125655,btc_jpy
267,"{""rate"":""265374.0""}",20170529125705,btc_jpy
268,"{""rate"":""266020.0""}",20170529125715,btc_jpy
269,"{""rate"":""265821.5""}",20170529125725,btc_jpy
270,"{""rate"":""265843.0""}",20170529125735,btc_jpy
271,"{""rate"":""265778.5""}",20170529125745,btc_jpy
272,"{""rate"":""265812.0""}",20170529125755,btc_jpy
273,"{""rate"":""265839.0""}",20170529125805,btc_jpy
274,"{""rate"":""265899.5""}",20170529125815,btc_jpy
275,"{""rate"":""265791.5""}",20170529125825,btc_jpy
276,"{""rate"":""265668.0""}",20170529125836,btc_jpy
277,"{""rate"":""265626.0""}",20170529125846,btc_jpy
278,"{""rate"":""265626.0""}",20170529125856,btc_jpy
279,"{""rate"":""265626.0""}",20170529125906,btc_jpy
280,"{""rate"":""265771.5""}",20170529125916,btc_jpy
281,"{""rate"":""265630.5""}",20170529125927,btc_jpy
282,"{""rate"":""265631.0""}",20170529125937,btc_jpy
283,"{""rate"":""265631.0""}",20170529125947,btc_jpy
284,"{""rate"":""264963.5""}",20170529125957,btc_jpy
285,"{""rate"":""264713.5""}",20170529130007,btc_jpy
286,"{""rate"":""264651.0""}",20170529130017,btc_jpy
287,"{""rate"":""265527.5""}",20170529130027,btc_jpy
288,"{""rate"":""265073.5""}",20170529130038,btc_jpy
289,"{""rate"":""265148.5""}",20170529130048,btc_jpy
290,"{""rate"":""265100.0""}",20170529130058,btc_jpy
291,"{""rate"":""265005.5""}",20170529130108,btc_jpy
292,"{""rate"":""265005.5""}",20170529130118,btc_jpy
293,"{""rate"":""265066.0""}",20170529130128,btc_jpy
294,"{""rate"":""265423.0""}",20170529130138,btc_jpy
295,"{""rate"":""265444.5""}",20170529130148,btc_jpy
296,"{""rate"":""265367.5""}",20170529130158,btc_jpy
